Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
Dho 1474,L~6,388.7,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53786,18.61057,54.17155
EET 87566,L6,388.1,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8116,-76.18333,157.16667
DaG 396,L6,388,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5944,27.8185,15.92733
JaH 025,H5,388,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=12113,19.43167,56.89833
MET 01038,LL6,388,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16271,-79.68333,159.75
Acfer 391,H4,388,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=53622,27.59617,4.172
Dho 1519,Ureilite,388,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53879,18.46117,54.36633
JaH 508,L6,387.9,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=50921,19.66977,55.5124
A-881614,H4,387.82,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4323,-72,26
ALH 85024,H5,387.7,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=890,-76.84525,156.43343
A-881157,H4,387.61,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3866,-72,26
A-880975,L6,387.33,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3684,-72,26
ALHA77190,H4,387.1,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1501,-76.71667,159.66667
Acfer 079,L6,387,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=88,27.5,3.68333
DaG 147,H5,387,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5695,27.04517,16.38167
HaH 190,H6,387,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=11673,28.647,13.38817
NWA 458,L6,387,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=17726,26.784,-12.8335
SaU 292,H5,387,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34041,20.60342,57.16427
Dho 1697,H6,387,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=56322,19.06252,54.55953
JaH 692,LL6,387,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56415,19.04955,55.5607
JaH 794,L5,387,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56526,19.96944,55.98778
ALHA81044,H4,386.8,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2004,-76.71945,158.76506
A-87336,H4,386.8,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2693,-72,26
PCA 91057,L6,386.6,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18348,-85.68357,-68.85525
GRV 022403,H4,386.3,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47969,-72.775,75.340833
DaG 326,L6,386,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5874,27.839,15.877
HaH 202,LL6,386,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=11685,28.633,13.22367
Dho 101,L6,386,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6810,18.9225,54.4745
DaG 657,L6,386,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6204,27.28333,16.1
Dho 521,L4,386,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=7282,19.17333,54.87
MIL 99321,L6,385.9,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=16677,-83.25,157
RaS 416,H5,385.8,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=55511,20.33532,56.20263
Elida (c),H5,385.5,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=10016,33.79,-103.56333
EET 96025,H6,385.3,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9619,-76.18333,157.16667
A-880675,H4,385.28,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3384,-72,26
SaU 166,H5,385.2,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=23353,21.02063,57.2131
Acfer 037,LL4-6,385,Found,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=47,27.55,4.13333
DaG 094,H5,385,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5610,27.0655,16.0875
DaG 662,H6,385,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6209,27.11667,16.43333
SaU 081,L4,385,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23273,21.05183,57.26967
Dho 117,H5,385,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6902,18.70117,54.19683
EET 83244,L6,384.1,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=7885,-76.28139,157.27389
Acfer 074,L6,384,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=83,27.48333,3.83333
DaG 296,H4,384,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5844,27.29133,16.21333
