id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
596,"Das dunkle Meer der Sterne Folge 7 & 8 &#8211, Der furiose Abschluss","Deutschland","Bielefeld","Hörspiel / Hörbuch",4500,4925,210,0,123,122,158,29,0,"19.12.11 14:28","11.03.12","http://www.startnext.de/das-dunkle-meer-der-sterne"
597,"SCHMiTTEN: Neues Album, neues Crowdlabel","Deutschland","Hamburg","Musik",1000,1104,186,0,30,30,53,11,4,"13.02.12 16:05","10.03.12","http://www.startnext.de/schmitten-neues-album-neues-crowdlabel"
598,"PARADEISER productions präsentiert : ","Deutschland","Münster","Musik",900,902,362,0,29,21,47,3,14,"09.02.12 10:55","10.03.12","http://www.startnext.de/hobophobia"
599,"Die Meta-Morphose","Deutschland","Frankfurt am Main","Film / Video",12500,12675,4920,0,107,93,212,50,25,"29.11.11 18:39","09.03.12","http://www.startnext.de/meta-morphose"
600,"Bergfestfilm 2012 - Die Vierte Gewalt","Deutschland","Ilmenau","Film / Video",3000,3180,69,550,75,67,135,21,15,"30.01.12 13:06","08.03.12","http://www.startnext.de/die-vierte-gewalt"
601,"Kurzfilm Sommers Winter","Deutschland","Kiel","Film / Video",500,630,145,0,20,20,48,12,18,"16.02.12 14:20","05.03.12","http://www.startnext.de/kurzfilm-sommers-winter"
602,"STEPPING FORWARD DOKUMENTARFILM","Deutschland","Stuttgart, Deutschland","Film / Video",2500,2610,380,0,53,50,104,23,3,"05.12.11 10:19","04.03.12","http://www.startnext.de/stpfor"
603,"Fortuna. Das neue Album von Cat Balou°","Deutschland","Ravensburg","Musik",1500,2034,645,0,33,32,53,19,18,"06.02.12 14:56","04.03.12","http://www.startnext.de/cat-balou-fortuna"
604,"Parfum Brutal Album 2012","Deutschland","Deutschland, Berlin, NRW","Musik",3000,3033,2249,0,41,38,93,11,3,"07.11.11 16:08","01.03.12","http://www.startnext.de/parfumbrutal"
605,"Cosy Concerts: So wohnt die Musik!","Deutschland","Berlin","Musik",500,580,35,0,26,22,41,13,11,"25.01.12 13:45","01.03.12","http://www.startnext.de/cosy-concerts"
606,"IMPRO 2012 - 11. Internationales Festival für Improvisationstheater Berlin","Deutschland","Berlin","Theater",4400,4515,1484,815,80,71,115,17,7,"15.12.11 01:58","29.02.12","http://www.startnext.de/impro-2012"
607,"PROPELLER IN PANIK!  --- MUSIK ---..Studioaufnahmen der neuen Lieder....","Deutschland","Berlin","Musik",800,810,45,0,14,14,37,6,1,"09.01.12 09:40","29.02.12","http://www.startnext.de/propeller-in-panik"
608,"message from greece - Doku über die junge Generation in Griechenland ","Deutschland","Berlin/Athen(s)","Film / Video",5000,5088,2193,0,81,72,128,38,39,"14.12.11 20:24","28.02.12","http://www.startnext.de/message-from-greece"
609,"Neue Regale für 5000 heimatlose Bücher","Deutschland","Leipzig","Literatur",5000,5000,4380,0,18,17,72,6,1,"12.09.11 13:31","26.02.12","http://www.startnext.de/halle14-kunstbibliothek"
610,"Max Blumentrath - Jazz Organist - Masterprojekt","Deutschland","Dresden, Berlin, Münster, Amsterdam","Musik",2500,2500,1760,0,26,19,49,12,6,"05.12.11 16:26","24.02.12","http://www.startnext.de/maxblumentrath-masterprojekt"
611,"win win lose lose tanztheater von sensory groundworks ","Deutschland","Freiburg im Breisgau","Theater",2000,2002,1450,0,29,24,45,9,2,"20.01.12 16:49","24.02.12","http://www.startnext.de/win-win-lose-lose"
612,"stadtKLANG - Livemusik Initiative für Düsseldorf","Deutschland","Düsseldorf","Musik",700,702,332,0,19,19,48,6,5,"13.02.12 10:07","24.02.12","http://www.startnext.de/stadtklang"
613,"Hinter dem 5. Ring (AT) - Dokumentarfilm mit chin. Wanderarbeitern","China","Peking und Umland","Film / Video",1000,1004,222,0,22,20,57,22,9,"06.12.11 12:04","22.02.12","http://www.startnext.de/wanderarbeiter"
614,"Doku: El Camino del Cambio  -  Suedamerikas Jugend lebt den Wandel","Deutschland","Suedamerika, From Cordoba in Argentina to Antofagasta in Chile","Film / Video",1150,1695,265,0,28,25,62,17,9,"03.02.12 14:18","22.02.12","http://www.startnext.de/el-camino-del-cambio"
615,"Fotobuchprojekt anlässlich des Dammer Carnevaljubiläums: 398. Session ","Deutschland","Damme","Fotografie",1750,2187,66,0,29,29,57,26,19,"23.01.12 10:22","22.02.12","http://www.startnext.de/1614-2014"
616,"Geschwister- und Liebespaare - Debütalbum von Maja Fluri","Deutschland","Berlin","Musik",2500,2661,441,0,44,39,87,16,36,"30.11.11 12:31","21.02.12","http://www.startnext.de/geschwister-und-liebespaare"
617,"Kairo Outreach  - Eine Stadt in der Wüste wird grün","Deutschland","Kairo","Journalismus",2400,2437,2190,0,15,15,47,4,3,"24.12.11 10:01","15.02.12","http://www.startnext.de/kairo-outreach"
618,"Kurzfilm Flimmern","Deutschland","Hildesheim","Film / Video",450,465,125,0,11,8,22,7,12,"18.01.12 15:48","15.02.12","http://www.startnext.de/flimmern-kurzfilm"
619,"Reise-Hörspiele für Kinder!","Deutschland","Leipzig","Hörspiel / Hörbuch",2480,2674,659,0,54,53,101,34,8,"16.12.11 14:53","15.02.12","http://www.startnext.de/reise-hoerspiele-fuer-kinder"
620,"DVD Götterdämmerung Voigt/Tate","Deutschland","Hamburg","Film / Video",20000,23130,22410,0,22,16,156,41,37,"09.11.11 08:14","10.02.12","http://www.startnext.de/dvd2012-hamburgersymphoniker"
621,"flow aus spielen ","Deutschland","Wolfsburg","Event",1000,1035,196,0,46,33,66,10,13,"09.01.12 16:14","07.02.12","http://www.startnext.de/flow-aus-spielen"
622,"1 Minus 1 Gleich 0 - Der Kinofilm (Trailer)","Deutschland","Berlin","Film / Video",6000,6017,5417,0,45,36,118,13,12,"09.09.11 10:24","06.02.12","http://www.startnext.de/1-minus-1-gleich-0"
623,"A5 Richtung Wir - Seid Teil des neuen Albums","Deutschland","Baden-Württemberg","Musik",2000,2118,288,0,66,58,97,42,0,"10.12.11 00:07","02.02.12","http://www.startnext.de/a5-richtung-wir"
624,"Flugsand. Ein Kurzfilm. Ein Tanzfilm. ","Deutschland","Berlin","Film / Video",1600,1610,860,0,24,21,65,9,0,"13.10.11 11:21","01.02.12","http://www.startnext.de/flugsand"
625,"Münchhausen Media","Deutschland","Düsseldorf","Hörspiel / Hörbuch",1500,1558,193,0,68,52,72,41,13,"10.12.11 00:37","01.02.12","http://www.startnext.de/muenchhausen-media"
626,"Die Spams - 'Let's Do It!' - CD-Produktion","Deutschland","Hamburg","Musik",999,1105,355,0,35,35,58,13,20,"24.10.11 17:30","31.01.12","http://www.startnext.de/diespams"
627,"Jahrôme - Memento Mori (Album)","Deutschland","Hamburg","Musik",1000,1071,206,0,20,17,41,10,0,"14.12.11 16:16","31.01.12","http://www.startnext.de/jahrome-memento-mori"
628,"Spielfilm 'Die Stimme der Freiheit'","Deutschland","Lüneburg, Uelzen","Film / Video",3000,3130,730,0,25,21,67,7,13,"04.01.12 14:03","31.01.12","http://www.startnext.de/die-stimme-der-freiheit"
629,"Nikolai Wilckens - a day by the sea","Deutschland","Kiel","Musik",1400,1441,291,0,39,36,51,17,4,"13.12.11 13:17","30.01.12","http://www.startnext.de/nikolaiwilckens"
630,"MAKE LOVE TALK","Deutschland","Frankfurt - Bremen - Berlin","Film / Video",1000,1036,260,0,33,28,55,5,13,"09.11.11 13:51","25.01.12","http://www.startnext.de/make-love-talk"
631,"Langsame Portraits von Fotografen (Kollodium-Nassplatten-Verfahren)","Schweiz","Wald ZH","Fotografie",700,703,70,0,18,11,36,1,15,"27.10.11 13:08","25.01.12","http://www.startnext.de/ambrotypie"
632,"The Infinite in Between","Deutschland","Aachen","Film / Video",600,775,220,0,24,23,57,20,6,"17.11.11 08:19","20.01.12","http://www.startnext.de/the-infinite-in-between"
633,"IRXN produzieren ihr drittes Album ","Deutschland","München","Musik",4500,4579,1654,0,38,34,78,37,22,"26.10.11 13:08","14.01.12","http://www.startnext.de/irxn-cd-3"
634,"DIE GESCHLECHTSKRIEGERINNEN, post-production","Deutschland","Hamburg","Film / Video",10001,14050,5352,0,114,111,522,41,6,"24.10.11 02:17","10.01.12","http://www.startnext.de/wayfilm"
635,"The Violin","Deutschland","Lemgo","Film / Video",300,352,157,0,9,9,42,3,19,"25.11.11 13:43","07.01.12","http://www.startnext.de/the-violin"
636,"Lena Sundermeyer - Debütalbum","Deutschland","Dresden","Musik",3000,3052,987,0,37,35,78,20,5,"26.10.11 15:30","01.01.12","http://www.startnext.de/lena-sundermeyer-debuetalbum"
637,"Dokumentarfilm: Vulamasango - Kind sein dürfen","Deutschland","Kapstadt, Hamburg","Film / Video",1700,1715,860,0,14,13,51,5,3,"31.08.11 12:23","31.12.11","http://www.startnext.de/dokumentarfilm-vulamasango"
638,"Backsteinromantik in Dänemark","Deutschland","Hamburg","Musik",950,950,705,0,12,11,37,13,8,"23.10.11 12:22","31.12.11","http://www.startnext.de/pascal-van-der-straaten"
639,"CD-Aufnahme Scarlatti Marienvesper mit der Vokalakademie Berlin","Deutschland","Berlin","Musik",2500,3342,1152,0,38,37,72,8,9,"23.11.11 22:42","31.12.11","http://www.startnext.de/vokalakademie-berlin-cd-aufnahme-scarlatti"
640,"Handkes Weiberabend","Deutschland","Dresden","Event",660,670,565,0,16,13,38,4,0,"04.10.11 11:29","29.12.11","http://www.startnext.de/handkes-weiberabend"
641,"Kostenlose Schülerzeitung gegen Rechts","Deutschland","Berlin","Journalismus",7500,7647,967,4053,160,156,204,13,9,"20.10.11 10:32","29.12.11","http://www.startnext.de/kban"
642,"ARABESQUES/Deutsch-Französische Kulturtage 2012","Deutschland","Hamburg","Event",2000,2001,1941,0,9,9,240,2,1,"14.11.11 11:08","20.12.11","http://www.startnext.de/arabesques"
643,"Woyzeck in Kolumbien","Kolumbien","Cali, Kolumbien","Film / Video",2500,2615,505,0,46,40,70,16,0,"23.10.11 12:46","15.12.11","http://www.startnext.de/woyzeck"
644,"museuminmotion - Menschen für Museum begeistern","Deutschland","Hamburg","Kulturelle Bildung",2000,2074,751,0,59,50,224,33,30,"06.10.11 11:03","11.12.11","http://www.startnext.de/museuminmotion"
645,"Klauberger - Actionkomödie mit Tierschutzkontext - Kinospielfilm","Deutschland","Köln, Wuppertal, München, Bundesweit","Film / Video",2000,2020,1270,0,13,12,33,4,9,"11.10.11 13:38","10.12.11","http://www.startnext.de/klauberger"
646,"CLUB META / Ein Labor für Utopien im Gängeviertel","Deutschland","Hamburg","Event",2999,3000,2260,0,55,48,447,10,1,"24.10.11 02:18","10.12.11","http://www.startnext.de/club-meta"
647,"upDate (AT)","Deutschland","Mittweida","Film / Video",550,585,20,0,9,7,39,7,5,"28.10.11 09:42","09.12.11","http://www.startnext.de/update"
648,"The Joker","Deutschland","Berlin","Theater",500,620,465,0,16,16,32,3,5,"15.09.11 15:04","08.12.11","http://www.startnext.de/the-joker"
649,"Lilou - EP Produktion","Deutschland","Rhein-Neckar Kreis","Musik",1500,1551,575,0,34,30,61,8,7,"06.09.11 09:57","05.12.11","http://www.startnext.de/lilouep"
650,"eduNET - the education-network","Deutschland","Karlsruhe, BW","Technologie",250,257,84,0,11,9,22,10,10,"02.11.11 21:24","01.12.11","http://www.startnext.de/edunet"
651,"EXOT #12: Jetzt Seitenpate werden!","Deutschland","Berlin, Bonn, Köln, Luxemburg, München, Hamburg","Journalismus",150,166,38,0,10,8,20,4,2,"17.08.11 00:03","30.11.11","http://www.startnext.de/exot-magazin-12"
652,"Weil es dich gibt - Solo-CD von Axel Chr. Schullz","Deutschland","Duisburg","Musik",3000,3477,1427,0,86,77,74,12,4,"05.10.11 15:59","27.11.11","http://www.startnext.de/weil-es-dich-gibt"
653,"Help Wivern support artists through the world's first CR8","Deutschland","Berlin, London","Film / Video",500,501,0,0,3,2,15,2,0,"01.10.11 22:27","15.11.11","http://www.startnext.de/wiverncr8"
654,"Echtzeit","Deutschland","Dresden","Film / Video",500,509,142,0,13,13,22,4,0,"01.10.11 14:16","15.11.11","http://www.startnext.de/echtzeit"
655,"Jazz Mit Kick macht Schule! Konzerte zum Mitmachen für Kinder","Deutschland","Köln","Musik",4000,4565,3430,0,24,23,61,14,13,"06.07.11 09:52","07.11.11","http://www.startnext.de/jazz-mit-kick-schultour-2011"
656,"Pretty Mery K Debut Album","Deutschland","Dresden/Hamburg","Musik",3000,3147,1380,0,60,57,92,8,2,"19.08.11 14:02","31.10.11","http://www.startnext.de/pretty-mery-k-album"
657,"Produktion der Friede Freude Menschenhass EP","Deutschland","Gütersloh/Herzebrock-Clarholz","Musik",400,400,340,0,9,8,20,4,0,"05.09.11 14:24","31.10.11","http://www.startnext.de/friede-freude-menschenhass-ep"
658,"Von Korf: Wir warten.","Deutschland","Osnabrück","Musik",300,300,237,0,16,13,17,8,9,"26.09.11 18:22","31.10.11","http://www.startnext.de/wir-warten"
659,"Gangster Of Love // Webserie","Deutschland","Hildesheim","Film / Video",5000,5945,260,4140,51,51,110,13,8,"12.09.11 13:40","30.10.11","http://www.startnext.de/gangster-of-love"
660,"Psychonautilus und The Plastic Bags präsentieren: Psycho & Plastic ","Deutschland","Berlin, Köln, München, Leipzig, Dresden, Weimar, Koblenz, Regensburg... ","Musik",500,503,199,0,24,20,27,10,6,"01.08.11 13:30","28.10.11","http://www.startnext.de/psychoandplastic-tour2011"
661,"Cinderella Effekt - Kurzfilm","Deutschland","Austria","Film / Video",2000,2005,345,0,14,13,35,11,7,"19.09.11 17:02","26.10.11","http://www.startnext.de/cinderella-effekt-kurzfilm"
662,"Ach, so!? -  Künstleraustausch Tokio / Hamburg","Deutschland","Tokio (Japan)","Theater",1400,1500,310,70,16,15,40,8,12,"05.09.11 12:30","24.10.11","http://www.startnext.de/ach-so"
663,"MILHAVEN AUTOMATA (12' EP)","Deutschland","Bochum","Musik",1400,1631,662,0,41,38,42,14,8,"23.09.11 12:37","23.10.11","http://www.startnext.de/milhaven-automata-ep"
664,"Die Flut ist pünktlich","Deutschland","Berlin & Blavand (Dänemark)","Film / Video",4500,5285,4135,0,49,43,83,12,4,"09.09.11 16:48","21.10.11","http://www.startnext.de/filmflut"
665,"Nefertiti Bust 3D für das iPad und iPhone","Deutschland","Berlin","Design",500,575,55,0,11,10,18,14,15,"06.09.11 17:55","20.10.11","http://www.startnext.de/nefertiti-bust-3d"
666,"SchattenRosen TanzKonzert","Deutschland","Theaterforum Kreuzberg, Berlin","Musik",800,830,610,0,7,5,33,7,1,"19.09.11 15:09","16.10.11","http://www.startnext.de/schattenrosen"
667,"Foryoumydear - EP Produktion","Deutschland","Hannover","Musik",500,737,27,0,33,32,32,8,8,"23.08.11 13:18","15.10.11","http://www.startnext.de/foryoumydear-ep-produktion"
668,"Herr Eichhorn und der erste Schnee - Kindertheaterinszenierung","Deutschland","Berlin","Theater",650,720,493,0,19,19,47,11,17,"04.08.11 11:02","10.10.11","http://www.startnext.de/herr-eichhorn-und-der-erste-schnee"
669,"Wer, wenn nicht wir?","Deutschland","Berlin, Rumänien","Film / Video",1000,1164,576,0,16,15,42,7,3,"12.09.11 23:13","08.10.11","http://www.startnext.de/guerilla-vs-filmschool-filmfoerderung-mal-anders-"
670,"Sundown","Deutschland","Berlin/Barcelona","Film / Video",950,951,181,0,33,28,46,17,0,"02.09.11 10:19","03.10.11","http://www.startnext.de/http-www-startnext-de-sundown"
671,"4 Ansteckmikros für fluegel.tv","Deutschland","Stuttgart","Film / Video",641,811,0,0,19,18,38,6,0,"06.08.11 14:04","01.10.11","http://www.startnext.de/4-ansteckmikros"
672,"Das Bild eines Kontinents - Europa aus einem anderen Blickwinkel","Deutschland","Ghana","Journalismus",500,525,145,0,18,15,31,9,1,"06.09.11 15:39","01.10.11","http://www.startnext.de/doku-blickwinkel"
673,"'UND DANN WAR ALLES STILL'","Deutschland","Berlin","Film / Video",1000,1039,736,0,17,14,97,4,2,"02.09.11 14:41","30.09.11","http://www.startnext.de/udwas"
674,"Terra Mortis: Das Endzeit-Hörspiel","Deutschland","Bielefeld / Braunschweig","Hörspiel / Hörbuch",3000,3909,445,0,124,122,119,22,8,"24.06.11 13:06","30.09.11","http://www.startnext.de/terra-mortis"
675,"Gestalten - Ein Kurzfilmprojekt","Deutschland","Berlin","Film / Video",1500,1555,825,0,23,21,44,4,1,"26.07.11 08:47","29.09.11","http://www.startnext.de/gestalten"
676,"DER SCHÖNE MARCEL - Film Noir aus den Strassen Berlins","Deutschland","Berlin","Film / Video",2000,2050,1810,0,10,9,36,1,0,"17.08.11 00:04","15.09.11","http://www.startnext.de/kurzfilm-der-schoene-marcel-film-noir-aus-den-strassen-berlins"
677,"Tears in Rain - Kurzfilm","Deutschland","Berlin","Film / Video",250,295,170,0,8,7,20,3,4,"19.08.11 10:59","14.09.11","http://www.startnext.de/tearsinrain"
678,"Fragments of Ava (AT) - OmenglU","Deutschland","Berlin","Film / Video",550,551,251,0,15,15,43,10,0,"06.07.11 14:38","09.09.11","http://www.startnext.de/fragments-of-ava"
679,"Strangers in a Song","Deutschland","Micamoca Berlin-Wedding (www.micamoca.com)","Musik",500,501,343,0,19,17,31,4,11,"09.08.11 19:28","03.09.11","http://www.startnext.de/strangers-in-a-song-1"
680,"'Es war einmal...' &#8211, Album bzw. Familienalbum der Anke Johannsen Band","Deutschland","Duisburg, Essen, Gelsenkirchen, Oberhausen","Musik",3500,3530,1387,0,45,35,75,23,19,"12.06.11 19:46","31.08.11","http://www.startnext.de/es-war-einmal"
681,"marie & the redCat TOUR","Deutschland","Mannheim, Berlin, Hannover, Hamburg, Moers, Koblenz, ...","Musik",1500,1787,587,0,36,35,84,7,0,"14.06.11 22:55","31.08.11","http://www.startnext.de/marieandtheredcat-tourhilfe"
682,"TANGO BERLIN","Deutschland","Berlin","Film / Video",2500,2545,554,0,21,19,44,26,9,"24.06.11 22:23","31.08.11","http://www.startnext.de/tango-berlin"
683,"Festival 3B - Kammermusik in der Immanuelskirche Wuppertal","Deutschland","Wuppertal, Nordrhein-Westfalen, Deutschland","Event",3000,3045,2665,0,17,15,57,1,6,"25.07.11 08:26","31.08.11","http://www.startnext.de/festival-3b"
684,"null22eins","Deutschland","Köln","Journalismus",2000,2030,1010,0,8,7,39,4,7,"28.07.11 13:50","31.08.11","http://www.startnext.de/null22eins"
685,"IRON SKY","Deutschland","Finnland, Deutschland & Australien","Film / Video",10000,10250,4270,0,46,42,135,25,17,"08.07.11 22:48","28.08.11","http://www.startnext.de/iron-sky2"
686,"Internationales Print-Magazin deinblick","Deutschland","München","Journalismus",2000,2007,1920,0,9,8,35,8,0,"15.07.11 12:14","28.08.11","http://www.startnext.de/deinblick-magazine"
687,"NOT DEAD YET (AT) - SHORTMOVIE","Deutschland","Rostock","Film / Video",500,510,400,0,4,4,18,10,15,"03.08.11 19:34","25.08.11","http://www.startnext.de/kurzfilmrostock"
688,"Feuer und Flamme für Kunst","Deutschland","Rationaltheather München","Fotografie",3500,3501,670,0,20,17,66,11,3,"13.07.11 15:49","22.08.11","http://www.startnext.de/feuer2011"
689,"ASTERNAUTS","Deutschland","Austin, TX & Berlin","Film / Video",5300,5362,2116,0,51,46,115,12,37,"21.07.11 12:05","21.08.11","http://www.startnext.de/asternauts"
690,"Aufwärts","Deutschland","Offenburg / Freiburg","Film / Video",1000,1040,520,0,13,13,59,8,0,"06.06.11 19:58","16.08.11","http://www.startnext.de/aufwaerts"
691,"PAPA GOLD - Ein Film will ins Kino","Deutschland","Deutschland - Berlin","Film / Video",2180,2369,1487,0,51,48,88,29,9,"20.05.11 13:27","15.08.11","http://www.startnext.de/papagold"
692,"Im Hohen Atlas - Momentaufnahmen einer stolzen Kultur","Deutschland","Marokko","Fotografie",2750,2786,1581,0,15,14,66,11,16,"04.06.11 22:50","15.08.11","http://www.startnext.de/marokko2011"
693,"3/TRI.so&#1080,anz - Blicke in Zerstörung, Schuld und Vergebung","Deutschland","Thüringen, Berlin, Bosnien","Event",3000,3536,3012,0,30,29,69,7,14,"20.06.11 10:26","15.08.11","http://www.startnext.de/trisonanz"
694,"CHI L'HA VISTO - WO BIST DU  - 90 min. Spielfilm KINOSTART UND DVD-RELEASE","Deutschland","Berlin, Köln, Italien","Film / Video",8000,8155,4500,0,102,87,74,48,35,"03.06.11 14:47","14.08.11","http://www.startnext.de/chilhavisto-movie"
695,"Favourites Film Festival Berlin","Deutschland","Berlin","Event",1000,1000,0,745,12,12,44,1,3,"12.07.11 12:03","11.08.11","http://www.startnext.de/fffberlin"
696,"The Story of a Shipwrecked Rambler_ Dokumentation","Österreich","Island","Film / Video",1250,1528,273,0,50,48,85,48,13,"13.07.11 15:48","09.08.11","http://www.startnext.de/the-story-of-a-shipwrecked-rambler"
697,"Jazz-CD Produktion mit historischer Aufnahmetechnik","Deutschland","München, Berlin","Musik",1100,1115,335,0,25,24,55,16,10,"03.06.11 09:52","01.08.11","http://www.startnext.de/sonic-drei-cd"
698,"2 Menschen auf 1 Weg in 2 Länder","Deutschland","Erfurt, Jerusalem, und alles was dazwischen liegt","Film / Video",1100,1151,979,0,21,19,44,14,5,"06.06.11 07:52","01.08.11","http://www.startnext.de/212projekt"
699,"Berlin Angels - Sind wir alle Engel?","Deutschland","Berlin","Film / Video",5500,5565,5310,0,15,14,102,18,20,"18.05.11 19:27","25.07.11","http://www.startnext.de/berlinangels"
700,"heimsucht - Ein Dokumentarfilm über junge Flüchtlinge","Deutschland","Stuttgart, Baden-Württemberg","Film / Video",350,600,100,0,14,14,36,5,4,"15.06.11 21:46","25.07.11","http://www.startnext.de/heimsucht"
701,"Annie Soulshine Debüt CD - support us!","Deutschland","Friedeburg/Niedersachsen","Musik",5000,7209,2261,0,53,39,70,32,19,"04.04.11 13:02","17.07.11","http://www.startnext.de/anniesoulshine"
702,"LULU. To all our lovers.","Deutschland","Frankfurt am Main / Gießen - Spielstätte(n) wird|werden bald angekündigt","Theater",1000,1005,965,0,9,9,36,5,6,"17.05.11 10:16","16.07.11","http://www.startnext.de/lulu"
703,"1. International Comedy Film Festival","Deutschland","Berlin","Film / Video",4500,4500,2530,0,90,71,192,69,12,"19.04.11 14:28","13.07.11","http://www.startnext.de/icoff"
704,"Schuldlos Glücklich (AT) - Kurzfilm","Deutschland","Berlin","Film / Video",700,705,455,0,20,18,35,5,6,"11.06.11 18:09","13.07.11","http://www.startnext.de/schuldlosgluecklich"
705,"Projekt E - Ein Dokumentarfilm über Musik und Erfolg","Deutschland","Mannheim","Film / Video",3000,3246,286,0,56,40,104,18,11,"12.05.11 11:24","10.07.11","http://www.startnext.de/projekt-e"
706,"Projekt-Diorama","Deutschland","Hamburg","Film / Video",861,877,427,0,10,9,44,5,5,"20.04.11 15:31","04.07.11","http://www.startnext.de/projekt-diorama"
707,"Das größte Schülerfilmprojekt Deutschlands","Deutschland","Leipzig & Torgau","Film / Video",5000,5003,4733,0,14,12,64,10,10,"17.03.11 22:48","02.07.11","http://www.startnext.de/sedicio"
708,"L3T Literaturliste ","Deutschland","Bad Reichenhall","Literatur",280,290,250,0,14,14,28,6,7,"28.04.11 14:03","02.07.11","http://www.startnext.de/l3t-literatur"
709,"Nachrichten (AT) - Eine Lecture Performance fürs Klassenzimmer","Deutschland","Bonn","Theater",1550,1985,1150,0,36,28,60,26,10,"12.05.11 11:49","02.07.11","http://www.startnext.de/pulkfiktion-nachrichten"
710,"'Spielt süsser den Tod...' - Bildungsprojekt zum Holocaust","Deutschland","Dresden","Film / Video",1000,1005,335,0,11,11,43,2,0,"15.04.11 00:24","01.07.11","http://www.startnext.de/celan"
711,"Edles Case für Apple (TM) Wireless Keyboard und Trackpad ","Deutschland","Dresden","Erfindung",500,641,1,0,18,18,42,19,0,"11.04.11 17:49","30.06.11","http://www.startnext.de/apple-keyboard-and-trackpad-case"
712,"Christina Lux feat. Reentko ","Deutschland","Köln, Dresden","Musik",3333,4489,992,0,104,98,129,41,16,"19.03.11 20:01","16.06.11","http://www.startnext.de/christina-lux-feat-reentko-cd-playground"
713,"XI","Deutschland","Philharmonie Berlin, öffentlicher Raum Berlin, Pariser Platz","Musik",4600,4869,99,3170,47,45,91,12,19,"11.05.11 16:01","15.06.11","http://www.startnext.de/xi"
714,"UNITHEA - Deutsch-polnisches Theaterfestival","Deutschland","Frankfurt (Oder) und Slubice","Theater",1111,1259,975,0,27,26,46,13,12,"07.05.11 17:00","04.06.11","http://www.startnext.de/unithea"
715,"Hartz IV Wohnung - Make Yourself A Home","Deutschland","Open Design City (betahaus)","Event",3000,5252,683,0,66,64,135,30,16,"29.04.11 14:00","30.05.11","http://www.startnext.de/hartz-iv-wohnung"
716,"Töne aller Arten ein HörspielBuch ","Deutschland","Potsdam","Hörspiel / Hörbuch",3300,3369,2226,0,41,32,115,49,32,"25.02.11 14:15","28.05.11","http://www.startnext.de/toene-aller-arten"
717,"STADTLICHH Magazin Ausgabe #3","Deutschland","Hamburg","Journalismus",950,964,793,0,19,15,45,9,9,"15.03.11 18:51","23.05.11","http://www.startnext.de/stadtlichh-magazin-3"
718,"nichts bleibt, baby!","Deutschland","Hildesheim","Hörspiel / Hörbuch",500,556,46,0,23,15,32,8,26,"05.04.11 20:38","16.05.11","http://www.startnext.de/baby"
719,"Paradise lost? Auf der Suche nach dem Paradies im Plattenbau","Deutschland","Leipzig Grünau","Fotografie",1800,1830,215,0,41,33,58,23,7,"07.04.11 11:13","15.05.11","http://www.startnext.de/gruenau-buch"
720,"wild & tame - Spielekonzept mit Digital Experience","Deutschland","Bremen","Games",620,622,547,0,10,9,35,2,1,"18.03.11 18:06","14.05.11","http://www.startnext.de/wild-and-tame"
721,"Mission Thera - Das Weltraumabenteuer","Deutschland","Lemgo, Ostwestfalen-Lippe","Film / Video",800,900,825,0,12,11,46,7,27,"26.02.11 01:49","10.05.11","http://www.startnext.de/mission-thera"
722,"Mia und der Minotaurus","Deutschland","Großraum Stuttgart","Film / Video",1000,1021,673,0,23,16,80,19,8,"07.03.11 15:43","30.04.11","http://www.startnext.de/mia"
723,"I Remember The Future | Science Fiction-Kurzfilm","Deutschland","Berlin","Film / Video",2000,2424,514,0,39,32,91,13,9,"14.03.11 12:57","30.04.11","http://www.startnext.de/irtf"
724,"KREATIVSALON BETA BAR","Deutschland","Chemnitz","Event",1500,1649,469,0,47,47,88,13,4,"23.03.11 18:30","30.04.11","http://www.startnext.de/kreativsalon-beta-bar"
725,"ROHRPOST - Der Anfang eines wunderbaren Missverständnisses","Deutschland","Dresden","Event",3410,3420,2710,155,29,21,46,20,6,"06.12.10 16:11","20.04.11","http://www.startnext.de/rohrpost"
726,"co:funding - Die 1. Crowdfunding Konferenz auf der re:publica 15.04.","Deutschland","Berlin","Event",5000,8397,22,0,22,22,33,4,5,"28.03.11 19:04","15.04.11","http://www.startnext.de/co-funding-11"
727,"Der Barde Ranarion - Soloalbum","Deutschland","Berlin","Musik",4000,7420,58,0,365,345,279,152,15,"02.02.11 18:56","13.04.11","http://www.startnext.de/ranarion"
728,"Mein kleines deutsches Schuldgefühl","Deutschland","Lichthof Theater Hamburg, 15.04.2011","Theater",500,617,440,0,15,13,41,7,2,"07.03.11 13:34","12.04.11","http://www.startnext.de/schuldgefuehl"
729,"Evelyn Kryger","Deutschland","Hildesheim/Hannover","Musik",1000,1120,22,0,35,34,41,15,15,"03.02.11 10:17","03.04.11","http://www.startnext.de/evelynkryger"
730,"'unsichtbar' - eine Fotoplakatausstellung zur tumorbedingten Fatigue ","Deutschland","Hannover","Fotografie",3575,3575,3364,0,38,30,124,2,17,"21.10.10 11:30","30.03.11","http://www.startnext.de/unsichtbar"
