id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
250,"Schulfach Leben ","Deutschland","Limulunga","Film / Video",8500,9180,6132,0,69,61,150,26,19,"17.09.12 14:05","17.12.12","http://www.startnext.de/schulfach-leben"
251,"'Ulysses oder  der Zyklop und seine Nashörner'","Deutschland","Berlin","Theater",5200,5492,4252,0,40,36,101,9,10,"19.10.12 10:30","17.12.12","http://www.startnext.de/ulysses-joyce"
252,"Minimusiker / Kleine Musiker - ganz groß!","Deutschland","Münster","Musik",5000,7085,3990,0,28,24,69,13,6,"22.10.12 16:22","15.12.12","http://www.startnext.de/minimusiker"
253,"Der Erlöser von Tempelhof / The Saviour (Kurzfilm, 30 Min.)","Deutschland","Berlin","Film / Video",5000,5193,3183,0,93,90,137,31,24,"14.09.12 18:04","14.12.12","http://www.startnext.de/saviour-film"
254,"Building das Baumhaus","Deutschland","Berlin","Event",11000,11004,8464,0,130,126,164,15,29,"19.09.12 18:51","14.12.12","http://www.startnext.de/baumhaus"
255,"Culinary Misfits - der Laden","Deutschland","Berlin","Event",15000,15610,5240,0,505,491,585,139,9,"05.10.12 14:28","14.12.12","http://www.startnext.de/culinarymisfits"
256,"WOODCOCK - Mockumentary Sitcom","Deutschland","Ludwigsburg","Film / Video",5000,5035,4608,0,53,52,102,15,6,"14.09.12 13:08","13.12.12","http://www.startnext.de/woodcock"
257,"KAMMERELEKTRONIK - Polygraphie und Hyperventilation","Deutschland","Köln","Musik",2400,2490,1095,0,29,26,42,2,3,"24.10.12 13:52","13.12.12","http://www.startnext.de/kammerelektronik"
258,"LES BOIS ALLUMÈS","Österreich","Wien","Design",850,930,220,0,15,15,37,4,14,"14.11.12 13:03","12.12.12","http://www.startnext.de/bienenwachs-kerzen"
259,"Sinfonie #1 - Nach der Tragödie oder wofür es sich zu leben lohnt","Deutschland","München","Film / Video",4000,4120,2830,0,50,43,86,12,5,"21.11.12 16:52","12.12.12","http://www.startnext.de/sinfonie-1"
260,"Liebesfestival zum Weltuntergang","Deutschland","Hamburg","Musik",3000,3106,661,0,35,28,57,15,8,"22.10.12 16:40","10.12.12","http://www.startnext.de/liebesfestival"
261,"Advent am Beckenrand","Deutschland","Wolfsburg","Musik",500,505,20,0,14,14,24,0,0,"09.11.12 17:38","09.12.12","http://www.startnext.de/advent-am-beckenrand"
262,"Weihnachtskonzert Tommy Finke & Polyana Felbel & Captain's Diary","Deutschland","Bochum","Musik",500,502,23,0,22,19,33,1,5,"19.11.12 15:38","07.12.12","http://www.startnext.de/polyana-felbel-and-tommy-finke"
263,"iCrane","Deutschland","Wabern","Erfindung",20000,100193,3067,0,441,299,483,420,30,"09.10.12 17:13","07.12.12","http://www.startnext.de/icrane"
264,"RHONDA - Unsere neue VINYL-SINGLE !!! ","Deutschland","Hamburg","Musik",3000,3094,1032,0,84,80,108,22,11,"07.11.12 16:34","07.12.12","http://www.startnext.de/rhondas-neues-vinyl"
265,"A Promised Rose Garden","Deutschland","Berlin","Film / Video",5000,5591,191,0,68,68,97,12,4,"21.11.12 11:39","07.12.12","http://www.startnext.de/a-promised-rose-garden"
266,"'Einfach machen Netzwerk - Learning-by-Doing Kultur für Schulen' ","Deutschland","Köln","Kulturelle Bildung",10000,21380,276,20274,125,114,159,40,33,"10.09.12 17:51","06.12.12","http://www.startnext.de/emnetzwerk"
267,"somepeopledrown Musikvideo","Deutschland","Hanau","Musik",1075,1184,212,0,52,50,53,13,14,"10.10.12 14:14","06.12.12","http://www.startnext.de/somepeopledrown-musikvideo"
268,"OSCA - Album Opus 1 ","Deutschland","Berlin","Musik",4000,4185,805,0,49,48,89,17,1,"02.10.12 17:47","05.12.12","http://www.startnext.de/osca-album-opus-1"
269,"TRAUMATICAL &#8211,  das ganz und gar selbstgemachte Klassenmusical","Deutschland","Berlin","Theater",800,1091,91,442,141,136,80,18,15,"28.09.12 12:33","03.12.12","http://www.startnext.de/musical-selbstgemacht"
270,"PJ'S Pussies","Deutschland","Berlin","Kunst",300,305,135,0,12,12,24,0,3,"25.10.12 17:31","03.12.12","http://www.startnext.de/www-harveyrabbit-net"
271,"Elisa Weiss & Band - Debütalbum ","Deutschland","Dresden","Musik",2400,2452,872,0,49,42,75,41,22,"04.09.12 09:53","02.12.12","http://www.startnext.de/elisa-weiss"
272,"Caves of the Dead 3D","Deutschland","Hamburg","Film / Video",10000,10068,6863,0,86,82,182,29,4,"02.10.12 09:54","01.12.12","http://www.startnext.de/cavesofthedead"
273,"Richard Lenz - 'Glücksschwein' CD-Produktion (Mastering,Artwork & Pressung)","Deutschland","Berlin","Musik",1500,1523,675,0,27,25,41,16,12,"12.10.12 14:38","01.12.12","http://www.startnext.de/gluecksschwein"
274,"Voices of Transition ","Deutschland","Berlin","Film / Video",8500,9295,958,0,261,249,291,74,6,"09.08.12 11:26","30.11.12","http://www.startnext.de/voices-of-transition"
275,"JazzVocalMundial - grooves connecting people - Hamburg-Valparaíso","Deutschland","Hamburg","Musik",10000,10240,7430,0,22,22,122,11,9,"19.10.12 16:55","30.11.12","http://www.startnext.de/jazzvocalmundial"
276,"EAT-SURF-LIVE: A Cornwall Companion","Österreich","Graz","Fotografie",5000,5367,1540,0,137,135,136,30,19,"13.09.12 10:43","30.11.12","http://www.startnext.de/eatsurflive"
277,"Holger Edmaier - LiveAlbum 'schlacht.reif - das Beste aus 13 Jahren'","Deutschland","Köln","Musik",3500,4289,533,0,116,104,128,43,8,"30.11.12 09:29","30.11.12","http://www.startnext.de/schlacht-reif"
278,"Der letzte Drop - Spielfilm","Deutschland","Nürnberg","Film / Video",3700,3750,1740,0,19,17,125,33,21,"24.09.12 10:46","30.11.12","http://www.startnext.de/derletztedrop"
279,"Destruction of Silence - Start Up","Deutschland","Kassel","Film / Video",3000,3075,115,0,32,28,78,12,14,"25.10.12 14:15","30.11.12","http://www.startnext.de/dos-start-up"
280,"Maxi -single-DVD featuring the Quintessenz video: 'A Christmas Dance'","Deutschland","Leipzig","Musik",2000,2115,420,0,44,43,54,5,13,"01.10.12 15:40","30.11.12","http://www.startnext.de/quintessenz-dvd"
281,"Martha & Isabelle (Kurzfilm)","Deutschland","Regensburg","Film / Video",2000,2045,1600,0,39,35,88,15,0,"06.11.12 09:53","30.11.12","http://www.startnext.de/martha-und-isabelle"
282,"So Wie Du Mir So Ich Dir ","Deutschland","München","Film / Video",5000,5020,4554,0,22,21,67,17,29,"17.10.12 15:07","30.11.12","http://www.startnext.de/sowiedumirsoichdir"
283,"Eine Online- Vorlesung mit dem Kameramann Raoul Coutard ","Deutschland","Köln","Film / Video",3000,3060,2582,0,72,66,98,18,7,"15.10.12 11:06","30.11.12","http://www.startnext.de/kamera-raoul"
284,"Chanson-CD mit Flügel.","Deutschland","Fischerhude, 28870 Ottersberg, Deutschland","Musik",2900,3557,729,0,81,78,89,62,12,"14.09.12 18:13","26.11.12","http://www.startnext.de/chanson-cd"
285,"War Ballet | Album | CD Pressung & Mastering","Deutschland","Berlin","Musik",2100,2236,1565,0,21,19,42,4,3,"22.10.12 14:01","25.11.12","http://www.startnext.de/war-ballet"
286,"EP Pete Dueckmann","Deutschland","Lage","Musik",1000,1715,30,0,95,94,72,19,5,"24.10.12 12:10","24.11.12","http://www.startnext.de/petedueckmannep"
287,"Helmut und die Kinder der Sierra Morena - Ein Dokumentarfilm","Österreich","Wien","Film / Video",7000,7125,5005,0,46,31,96,5,10,"24.10.12 15:17","24.11.12","http://www.startnext.de/helmut-loebell-dokumentarfilm"
288,"Videodreh zur neuen DBN Single 'Whoop'","Deutschland","Hamburg","Musik",2500,2670,350,0,48,47,47,20,5,"18.10.12 12:54","23.11.12","http://www.startnext.de/dbn"
289,"Regina Ebinal - Jazz has a Voice","Deutschland","Hamburg","Musik",1500,1677,825,0,38,34,44,20,3,"21.09.12 11:34","22.11.12","http://www.startnext.de/reginaebinal"
290,"Plus Minus - Wenn das Gleichgewicht der Welt sich verschiebt","Deutschland","Dortmund","Film / Video",3000,3175,2275,0,49,45,79,13,20,"09.10.12 11:53","20.11.12","http://www.startnext.de/plusminus-film"
291,"SEIN ODER NICHT`N GAAGE! Der MAULWURF Film!","Österreich","Berlin","Film / Video",100000,109716,1828,0,2963,2659,1728,894,29,"05.09.12 19:24","20.11.12","http://www.startnext.de/maulwurfn"
292,"Wagner & Verdi 2013: Herbert Rosendorfer und Germanhornsound","Deutschland","Berlin","Musik",8800,8925,5799,0,61,51,136,17,10,"29.08.12 11:51","19.11.12","http://www.startnext.de/germanhornsound"
293,"Martin Glönkler: CD 'Monsterkind'","Deutschland","Sexau","Musik",2200,2336,366,0,40,36,45,5,5,"17.09.12 15:44","18.11.12","http://www.startnext.de/monsterkind"
294,"Jesus Christus Erlöser. Ein Kinski-Reenactment.","Deutschland","Hildesheim","Theater",800,882,171,0,55,52,61,13,5,"17.10.12 18:21","17.11.12","http://www.startnext.de/jesuschristuserloeser"
295,"Sex, drugs and selfcontrol (Band 3: Goodbye, Ana & Mia)","Österreich","Wien","Literatur",2500,2655,70,0,27,24,52,8,9,"29.08.12 12:08","15.11.12","http://www.startnext.de/goodbye-ana-mia"
296,"Stadtaspekte - die dritte Seite der Stadt","Deutschland","Berlin","Journalismus",5000,5839,646,0,349,336,270,46,8,"04.10.12 15:24","15.11.12","http://www.startnext.de/stadtaspekte"
