id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
206,"Beautiful Form","Leanne Rivers","Deutschland","Dresden","Film / Video",1000,175,150,0,3,3,33,1,0,"28.09.12 14:44","05.11.12","http://www.startnext.de/beautiful-form-working-title"
207,"'Büro am Strand': Single- und Videoproduktion ","Martin Lindemann","Deutschland","Kiel","Musik",3000,820,22,0,28,28,66,18,4,"14.09.12 11:13","04.11.12","http://www.startnext.de/buero-am-strand"
208,"Everyman Sleeping Cycle (5.2h Sleep) - Brain Wave Project","Mentor Palokaj","Netherlands","Maastricht","Theater",250,15,0,0,3,3,22,0,0,"29.10.12 16:06","04.11.12","http://www.startnext.de/everyman-sleep"
209,"Franz Saarschleifer 'Ein Franz Ein Freund'","Franz Saarschleifer","Deutschland","Saarbrücken","Musik",1000,77,10,0,9,9,37,6,0,"20.08.12 16:51","03.11.12","http://www.startnext.de/saarschleifer"
210,"SEKTOR 8- Die Psychothriller Webserie","Bugra Diricanli","Deutschland","Köln","Film / Video",2000,169,29,0,12,12,32,3,18,"19.09.12 16:56","03.11.12","http://www.startnext.de/sektor-8"
211,"Spice UP your life! Unterstützen Sie das Projekt: SPICEBOARD","Jens Völkel","Deutschland","Hamburg","Design",5000,44,0,0,2,2,64,12,1,"25.09.12 14:32","31.10.12","http://www.startnext.de/spiceboard"
212,"Das Swaggernetwork, alle für einen und einer für alle!","Andrea Schellhove","Deutschland","Münster","Erfindung",2000,27,0,0,3,3,30,12,5,"05.10.12 14:08","31.10.12","http://www.startnext.de/das-swaggernetwork"
213,"foxyoffice - Modulentwicklung zur Unternehmenssoftware für KMU/EPU","foxyBRAIN OG","Österreich","Sankt Veit am Vogau","Technologie",2200,20,0,0,1,1,30,3,2,"07.08.12 12:04","30.10.12","http://www.startnext.de/foxyoffice-modulentwicklung"
214,"'Puppenjungs' - Das Debut-Hörspiel von HÖRORKAN!","Frank Kindermann","Deutschland","Hannover","Hörspiel / Hörbuch",1500,326,30,0,16,16,44,4,7,"02.10.12 16:27","30.10.12","http://www.startnext.de/puppenjungs"
215,"Exzess - Eine Freundschaft (AT)","Henner Berning","Deutschland","Freiburg","Film / Video",2500,60,0,0,2,2,27,0,1,"02.10.12 14:57","28.10.12","http://www.startnext.de/exzess"
216,"EYE EYE Kuschelkissen by royalgee","Regina Meissner","Deutschland","Göppingen","Design",3000,109,0,0,6,6,54,0,8,"30.07.12 14:12","27.10.12","http://www.startnext.de/eye-eye-kuschelkissen"
217,"REGIONAL URBAN ART WEB PAGE","Christian Grimm","Deutschland","Nürnberg","Informationsangebot",3200,57,32,0,4,4,59,8,12,"14.09.12 19:18","27.10.12","http://www.startnext.de/urban-art"
218,"Ein Rock-Festival für Schüttorf 2013","Marcel Völker","Deutschland","Schüttorf","Event",10000,340,0,0,9,9,118,21,11,"27.07.12 10:13","22.10.12","http://www.startnext.de/festival-schuettorf-2013"
219,"Exposure Berlin - Surrealistisches Musiktheater im Geist der 1920er Jahre","Nikolaus Schneider","Deutschland","Berlin","Event",2500,770,0,140,15,14,51,6,3,"12.09.12 10:29","22.10.12","http://www.startnext.de/exposure-berlin-1"
220,"INTERTANGO ","Hanne Weyh","Deutschland","München","Film / Video",22000,2415,520,0,19,19,112,16,2,"23.07.12 10:21","21.10.12","http://www.startnext.de/intertango"
221,"Aggrobarden - Lieder, die die Welt vernichten CD-Produktion","Björn Hinz","Deutschland","Hamburg","Musik",2500,30,0,0,2,2,33,1,2,"24.07.12 17:52","20.10.12","http://www.startnext.de/aggrobarden-cd"
222,"BETSY MILLER BAND : MUSIK CD  PRODUCTION 'BECOLOGY'","SINGER SONGWRITER Betsy Miller","Deutschland","Hamburg","Musik",4000,663,90,0,27,25,65,23,3,"23.07.12 14:09","19.10.12","http://www.startnext.de/betsy-miller-band-becology"
223,"Schamrock-Festival der Dichterinnen 2012","Sarah Ines Struck","Deutschland","München","Event",1000,190,0,0,6,6,40,8,0,"16.08.12 09:42","19.10.12","http://www.startnext.de/schamrockfestival"
224,"Playmobil durchleuchtet","Sacha Szabo","Deutschland","Freiburg","Literatur",2000,1741,561,0,15,14,32,7,7,"09.08.12 11:08","18.10.12","http://www.startnext.de/playmobil-durchleuchtet"
