id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
482,"Musikvideo: J.A.M. top voices - Mad World","Thomas Kranabetter","Österreich","Linz","Film / Video",800,10,0,0,1,1,28,4,2,"20.12.11 17:08","22.01.12","http://www.startnext.de/musikvideo-mad-world"
483,"Emotion Filmfest 2012 Berlin","Johannes Hüsing","Deutschland","Berlin","Event",500,10,0,0,2,2,19,2,2,"20.12.11 16:39","21.01.12","http://www.startnext.de/emotion-filmfest-2012"
484,"Bau eines schwimmenden Klassenzimmers aus Recyclingmaterialien in Indien","Joy Lohmann","Deutschland","Chapora River / Goa / Indien","Kunst",2012,152,11,56,9,9,35,5,4,"22.12.11 15:45","19.01.12","http://www.startnext.de/asap-island-klassenzimmer"
485,"Buergerstimme - Investigativer Journalismus am Puls der Gesellschaft","Joachim Sondern","Spanien","DE-AT-CH","Journalismus",50000,2591,76,0,8,8,106,7,7,"25.11.11 13:52","15.01.12","http://www.startnext.de/buergerstimme"
486,"Jäger und Gejagte - Kurzfilm ","Stefan Gellert","Deutschland","Hildesheim","Film / Video",800,42,1,0,2,2,35,2,2,"28.11.11 01:55","15.01.12","http://www.startnext.de/jaeger-gejagte"
487,"OpenMindJournal","Heinz Robert","Schweiz","deutschsprachiger Raum","Journalismus",4000,10,0,0,1,1,50,0,5,"14.12.11 20:31","13.01.12","http://www.startnext.de/openmindjournal"
488,"nuum - eine Tieftonmaschine","Philipp Maike","Deutschland","Krefeld","Erfindung",1500,425,20,0,20,19,56,12,31,"23.11.11 08:40","09.01.12","http://www.startnext.de/nuum"
489,"Die Welt Danach","Christoph Arni","Deutschland","Baden-Württemberg","Film / Video",2000,2,0,0,2,2,16,6,4,"16.12.11 19:22","08.01.12","http://www.startnext.de/dwd"
490,"Living like a Dog - Kinofilm / 90min.","Robert Krause","Deutschland","Hamburg","Film / Video",20000,292,61,0,10,10,101,13,22,"12.08.11 13:13","04.01.12","http://www.startnext.de/livinglikeadog"
491,"WORKING CLASS ZOMBIE","Dipl.-Designerin (FH) Alexandra Breitenstein","Deutschland","Dortmund","Fotografie",3200,337,212,0,10,10,70,8,25,"28.10.11 16:57","01.01.12","http://www.startnext.de/working-class-zombie"
492,"karmawear - Gute Wäsche für bewusste Menschen","Holger We¤els","Deutschland","Berlin","Mode",2600,1,0,0,1,1,56,7,4,"03.11.11 16:28","01.01.12","http://www.startnext.de/karmawear"
493,"Stadtrallye - Spiele deine Stadt!","Bastian Schittkowski","Deutschland","Karlsruhe","Theater",2400,20,0,0,1,1,29,1,0,"04.10.11 12:19","01.01.12","http://www.startnext.de/stadtrallye"
494,"MyBookBox. Freude schenken - so oft Sie wollen.","Eva Stemmer","Deutschland","München","Literatur",2000,426,1,0,5,5,57,9,4,"18.11.11 12:21","01.01.12","http://www.startnext.de/mybookbox-geschenkeversand"
495,"STATION 3D - Serienpilot","Svenja Klüh","Deutschland","Berlin","Film / Video",2500,60,0,0,2,2,30,1,0,"28.10.11 16:19","31.12.11","http://www.startnext.de/station-3d"
496,"Ausbau & Einrichtung eines Vereins-Fotostudios","Michael Beckers","Deutschland","Aachen","Fotografie",3500,160,10,100,3,3,59,2,3,"26.10.11 13:11","31.12.11","http://www.startnext.de/ein-studio-fuer-die-fotofreunde-"
497,"Bilderbuch Lilamund","Gaby Mutschke","Deutschland","Köln ","Literatur",9000,35,25,0,3,3,101,6,14,"19.09.11 12:09","30.12.11","http://www.startnext.de/bilderbuch-lilamund"
498,"Der Blogger","Alex Grossmann","Deutschland","D-A-CH","Journalismus",15000,1227,630,0,13,12,128,15,7,"09.11.11 12:36","30.12.11","http://www.startnext.de/blogger"
499,"spec. (AT)","Robert Morgenstern","Deutschland","Berlin","Film / Video",4321,638,5,0,3,3,64,10,8,"10.10.11 20:48","19.12.11","http://www.startnext.de/spec"
500,"Caramel & Chocolat ","Carmen Hey","Deutschland","Berlin","Musik",1500,250,75,0,5,4,35,6,2,"17.10.11 13:02","06.12.11","http://www.startnext.de/akkordeon-art-and-gipsy-swing-1"
501,"Sor-Tier: Eine Reise nach Magira","nina Daniels","Deutschland","Iserlohn","Literatur",3000,1,0,0,1,1,53,1,0,"28.09.11 10:23","05.12.11","http://www.startnext.de/sor-tier"
502,"Cloudtells - Social Media Theater","Dennis Nicolas Perzl","Deutschland","Internet","Theater",3500,115,0,0,6,6,63,7,8,"08.08.11 12:02","02.12.11","http://www.startnext.de/cloudtells"
503,"Revolution ist Sexy","Yves Drube","Dominikanische Republik","Santiago de los Caballeros","Fotografie",350,10,0,0,2,2,19,2,12,"19.09.11 11:36","01.12.11","http://www.startnext.de/revolution-ist-sexy"
504,"Perry Rhodan: TAMER","Audiogent GmbH","Deutschland","Magdeburg, Hamburg","Hörspiel / Hörbuch",5000,496,18,0,15,13,19,6,0,"14.10.11 13:30","01.12.11","http://www.startnext.de/perryrhodan"
505,"Dokumentation der LernKultur","Anja Schenkel","Deutschland","Dresden","Film / Video",4000,190,30,70,4,4,115,10,1,"30.09.11 15:30","30.11.11","http://www.startnext.de/doku-lkt"
506,"Im Dunkeln - ein Musik Tanz Theater","Kompanie Zwischen","Deutschland","Berlin","Theater",1200,30,20,0,3,3,40,3,0,"18.10.11 23:47","30.11.11","http://www.startnext.de/im-dunkeln"
507,"Berlin On The Rocks","Raphael Ghobadloo","Deutschland","Berlin","Film / Video",3300,158,3,0,5,5,59,3,0,"27.07.11 15:38","25.11.11","http://www.startnext.de/berlin-on-the-rocks"
508,"Vampire Junkies - Every breath you take","Vampire Junkies -  every breath you take Nastacia Daniels","Deutschland","Iserlohn","Literatur",4500,96,10,0,5,5,50,3,3,"13.09.11 10:14","21.11.11","http://www.startnext.de/vampire-junkies"
509,"FESTIWALLA- KulTür auf!","Maria Wilke","Deutschland","Haus der Kulturen der Welt, Berlin","Event",5500,510,130,100,12,11,90,3,1,"04.10.11 15:00","21.11.11","http://www.startnext.de/festiwalla"
510,"Saitenklang und Chorgesang","Juliane Koop","Deutschland","Dresden","Musik",300,50,25,0,4,4,18,9,4,"28.10.11 09:38","19.11.11","http://www.startnext.de/saitenklang-und-chorgesang"
511,"[SLC] - Spirit Longrun Competition","Tobias Walter","Deutschland","Online","Event",100,5,0,0,1,1,12,1,1,"04.10.11 12:15","18.11.11","http://www.startnext.de/slc"
512,"Orr, das Buch","Timo Klos","Deutschland","Kein fester Ort. Ein Buch ist geplant.","Fotografie",5400,3310,50,0,11,11,85,9,1,"22.09.11 17:03","15.11.11","http://www.startnext.de/orr-das-buch"
513,"Stadtlandschaft 903","Guntram Walter","Deutschland","Duisburg","Fotografie",2300,237,25,0,7,3,32,1,7,"31.05.11 04:18","14.11.11","http://www.startnext.de/stadtlandschaft-903"
514,"The Petits Fours Burlesque Revue","Judith Lindemann","Deutschland","Wir starten in Köln und wollen Deutschland erobern! :-)","Musik",7000,435,0,0,9,9,93,11,5,"04.10.11 11:01","11.11.11","http://www.startnext.de/the-petits-fours"
515,"Kurzfilm WIE SIE SEHEN","Roman Hagenbrock","Deutschland","Berlin","Film / Video",1000,11,0,0,3,3,32,2,2,"21.07.11 12:03","07.11.11","http://www.startnext.de/wiesiesehen"
516,"FILMZ - Festival des deutschen Kinos","Moritz Klenk","Deutschland","Mainz, Rhein-Main-Gebiet","Event",1700,215,40,0,16,16,46,4,0,"10.10.11 21:36","06.11.11","http://www.startnext.de/filmz"
517,"Buchprojekt >KANZLERTEAM 2020<","Peter Vanzo","Deutschland","München","Literatur",5000,335,185,0,9,9,53,8,3,"31.08.11 11:46","02.11.11","http://www.startnext.de/-kanzlerteam-2020"
518,"Litheart / Literatur, Theater und Kunst","Sina Hawk","Deutschland","Leipzig / Online","Literatur",2500,130,20,0,4,4,28,2,9,"25.07.11 15:32","01.11.11","http://www.startnext.de/litheart"
519,"Demolisha - CD Produktion","Andreas Penz","Österreich","Tirol / Österreich","Musik",700,2,0,0,1,1,32,2,3,"12.09.11 11:45","01.11.11","http://www.startnext.de/demolisha"
520,"CD-Produktion von Anna Nova ","Anna Nova","Deutschland","Berlin","Musik",3600,75,30,0,3,3,58,12,7,"29.09.11 17:52","01.11.11","http://www.startnext.de/anna-nova-emigration"
521,"Hörbuch: Hannover Stadtsagen","Michael John","Deutschland","Hamburg","Hörspiel / Hörbuch",1500,230,0,0,6,6,32,0,0,"28.06.11 22:33","31.10.11","http://www.startnext.de/hannover-sagen-und-legenden"
522,"Korkenzieher-Kalender 2012 - einzigartig","Erik Hande","Deutschland","Steinbach-Hallenberg / Schmalkalden","Fotografie",400,32,8,0,3,3,11,3,2,"09.08.11 19:24","31.10.11","http://www.startnext.de/korkenzieher-kalender-2012"
523,"LITTLE GLOBAL CITIES - Streifzüge durch Europas Mitte","Julia Stimpel","Deutschland","Berlin","Journalismus",6500,272,37,0,10,10,122,4,13,"06.09.11 11:04","31.10.11","http://www.startnext.de/little-global-cities"
524,"HOTEL AMOUR - DVD RELEASE & FESTIVAL TEILNAHME","Katharina Kowalewski","Deutschland","PARIS","Film / Video",500,50,0,0,2,2,14,0,7,"31.08.11 11:50","31.10.11","http://www.startnext.de/hotel-amour"
525,"LAKINO 2011","Jeremias Loock","Deutschland","Kino Babylon Mitte Berlin","Event",1999,5,0,0,1,1,26,1,1,"29.09.11 20:54","31.10.11","http://www.startnext.de/lakino"
526,"Ani´s Welt","Lili Krasteva","Deutschland","Berlin","Film / Video",5000,15,0,0,1,1,53,3,1,"11.05.11 12:19","30.10.11","http://www.startnext.de/aniswelt"
527,"Pate für unabhängige Medien in Bayern ","Oliver Renn","Deutschland","Bamberg","Journalismus",660,77,5,0,5,5,33,8,9,"26.09.11 16:52","28.10.11","http://www.startnext.de/das-zob"
528,"TANZBAD III  - Tanz- und Performance-Reihe von ROSI BERLIN","Cilgia Gadola","Deutschland","Berlin","Theater",1000,120,55,0,8,8,43,3,1,"06.09.11 15:30","22.10.11","http://www.startnext.de/tanzbad-iii"
529,"Lab in a Cell ","Rüdiger Trojok","Deutschland","Uni Freiburg","Erfindung",2500,180,40,0,3,3,34,1,3,"22.08.11 15:31","20.10.11","http://www.startnext.de/lab-in-a-cell-studentenprojekt-zur-synthetischen-biologie"
530,"Bono und Ora - Das Geheimnis des Kristallpuzzles","Martina Meier","Deutschland","Sigmarszell","Literatur",2200,150,110,0,6,6,32,3,2,"22.09.11 16:39","19.10.11","http://www.startnext.de/bono-und-ora"
531,"LEGALISATOR Trilogie - Anschubfinanzierung - 3 Kinospielfilme","Oliver Becker","Deutschland","Holywood (Heiligenwald/Saar - Germany)","Film / Video",1250,20,0,0,2,2,28,1,1,"23.09.11 17:03","16.10.11","http://www.startnext.de/legalisator-trilogie"
532,"ROYAL FATAL - an electronic fashion musical /// Oktober 2011 BERLIN","Marcus Hanisch","Deutschland","Berlin","Event",3500,37,0,0,4,4,60,1,0,"04.07.11 01:17","15.10.11","http://www.startnext.de/royal-fatal-an-electronic-fashion-musical-10-09-11-berlin"
533,"ArtisDB - Das Künstlernetzwerk","sascha lutz","Deutschland","Saulheim","Film / Video",2500,90,80,0,6,6,30,3,7,"06.07.11 09:48","15.10.11","http://www.startnext.de/artisdb"
534,"PAINT CLUB - das internationale Finale 2011","Andreas Schanzenbach","Deutschland","Berlin","Event",2500,1363,43,0,18,17,46,6,1,"09.08.11 19:36","08.10.11","http://www.startnext.de/paint-club-internationale-finale-2011"
535,"DeathCountry - Reverend Elvis [Langspielplatte] ","A.E. Freier","Deutschland","Vinyl für Europa und Deutschland","Musik",2500,55,0,0,2,2,29,3,2,"15.06.11 05:30","07.10.11","http://www.startnext.de/deathcountry"
536,"Ein flüchtiger Duft der Liebe","Simone Sirin Zorlu","Deutschland","Istanbul, Köln und auf Tournee","Literatur",4321,620,0,0,6,6,59,5,9,"21.07.11 18:29","05.10.11","http://www.startnext.de/liebe-ist-liebe"
537,"Morphonic Lab X","Detlef Schweiger","Deutschland","Dresden","Event",3300,2110,2010,0,5,5,65,4,21,"03.08.11 19:35","05.10.11","http://www.startnext.de/morphoniclab10"
538,"PhRasen der Dressur - Heilsversprechungen ptII - die Tournee","wilde pferde Miriam Welk","Deutschland","Hotel Pupik (Österreich), Berlin, Dresden","Musik",660,82,2,0,3,3,31,4,2,"01.08.11 11:06","01.10.11","http://www.startnext.de/heilsversprechungen"
539,"8 (Ocho) - DANNY AND THE DEEP BLUE SEA","Alessija Lause","Deutschland","auf Tournee","Theater",3000,390,0,0,9,9,68,7,4,"13.07.11 15:49","30.09.11","http://www.startnext.de/danny-and-the-deep-blue-sea"
540,"Wir sind ich","Alexandra Brodski","Deutschland","Köln und Bad Münstereifel","Film / Video",2000,86,55,0,5,5,38,2,5,"21.07.11 18:26","30.09.11","http://www.startnext.de/wir-sind-ich"
541,"Alice im WachTraumLand - unterhaltsame Videos über & für luzides Träumen","Alice Grinda","Deutschland","Berlin","Film / Video",1320,227,115,0,11,10,43,10,5,"12.07.11 12:49","30.09.11","http://www.startnext.de/alice-im-wachtraumland"
542,"Heiliger Benignus von Bischleben","Thomas Nicolai","Deutschland","Erfurt","Kunst",4400,130,110,0,3,3,57,10,33,"28.07.11 16:17","30.09.11","http://www.startnext.de/heiliger-benignus"
543,"Summer of dreams - Teenie Musik Kinofilm gegen Schul Mobbing","Niels Marquardt","Deutschland","Norddeutschland, Kiel, Selent, Hannover, Lüneburg, Timmendorfer Strand, Ostsee","Film / Video",6000,135,0,0,5,4,122,0,5,"26.08.11 11:54","30.09.11","http://www.startnext.de/summerofdreams"
544,"11 (ELEVEN) -- DO BLIND PEOPLE SEE MORE?","Tim Dabringhaus","Deutschland","Spanien, denn hier gibt es mit ONCE (OrganizaciÑn Nacional de Ciegos EspaÐoles - www.once.es) weltweit die größte Hilfsorganisation für blinde Menschen.","Film / Video",5000,122,0,0,2,2,66,5,9,"26.07.11 08:49","28.09.11","http://www.startnext.de/11"
545,"Maximal Invasiver Lichteingriff","Bernd Deckers","Deutschland","NRW","Event",1402,31,1,0,3,3,29,0,12,"03.06.11 13:02","24.09.11","http://www.startnext.de/lichteingriff"
546,"FOREVER LOST - JOURNEY TO THE ISLAND","Heinz Treschnitzer","Österreich","Österreich","Film / Video",3450,65,5,0,3,3,67,14,13,"29.06.11 11:27","24.09.11","http://www.startnext.de/foreverlost"
547,"BeVoice - Life in numbers","Bastian Holze","Deutschland","Berlin und Holland","Theater",1000,154,59,0,7,7,32,2,0,"24.08.11 20:16","18.09.11","http://www.startnext.de/bevoice"
548,"TONALi Grand Prix","Amadeus Templeton","Deutschland","Hamburg","Musik",3000,11,0,10,2,2,54,2,1,"18.04.11 13:30","15.09.11","http://www.startnext.de/tonali12"
549,"Buchprojekt: South Africa Sceneries","Florian Selig","Deutschland","Südafrika","Fotografie",4000,122,10,0,6,6,55,9,5,"13.05.11 17:16","15.09.11","http://www.startnext.de/south-africa-seneries"
550,"Kunstblut &#8211, Die Fälle der Annie Kincade Band 3","Oliver Graute","Deutschland","Mannheim","Literatur",4500,465,135,0,16,16,56,8,6,"06.07.11 09:45","15.09.11","http://www.startnext.de/kunstblut"
551,"OPHELIA. SHAKESPEARE IN DEN STÛDTEN ","Jana Goller","Deutschland","Berlin","Theater",500,85,50,0,2,2,19,1,2,"28.07.11 16:16","15.09.11","http://www.startnext.de/ophelia"
552,"Buchprojekt: Atlas des Humankapitals - Karte 5-10","JoÔl Luc Cachelin","Schweiz","St.Gallen, Schweiz","Design",10000,30,0,0,3,3,105,5,1,"22.07.11 00:07","14.09.11","http://www.startnext.de/wissensfabrik"
553,"Praktikum Lab /// Auf der Social Media Week 11 Berlin","Maya Wiseman","Gro¤britannien","Berlin (Planet Modulor, Kreuzberg) and online ","Event",1500,580,500,0,5,5,14,4,1,"25.08.11 10:03","14.09.11","http://www.startnext.de/praktikumlab"
554,"'Kindsein'","Franziska Hauser","Deutschland","Berlin/Brandenburg/Mecklenburg Vorpommern","Fotografie",3000,47,12,0,2,2,68,7,1,"02.09.11 16:59","14.09.11","http://www.startnext.de/kindsein"
555,"JUNGES FESTIVAL KNECHTSTEDEN - Sang & Klang - LOS!","Ulrike Neukamm","Deutschland","Dormagen & Kloster Knechtsteden","Theater",1500,15,10,0,2,2,26,2,2,"09.06.11 11:02","11.09.11","http://www.startnext.de/sang-und-klang-los"
556,"Surfing the wild East","René Eckert","Deutschland","Auerbach","Film / Video",1500,70,5,0,5,5,29,3,7,"04.07.11 16:30","10.09.11","http://www.startnext.de/surfing-the-wild-east"
557,"Berliner Speaker's Corner","Peter Lüder","Deutschland","Tempelhofer Freiheit (ehemaliges Flugfeld Tempelhof)","Event",3200,115,114,0,4,4,55,7,0,"11.07.11 09:11","09.09.11","http://www.startnext.de/berliner-speaker-s-corner"
558,"Hier und Jetzt: Reise mit uns ins eigene Innere...","Amel Soudani","Schweiz","Schweiz/ Bern","Film / Video",10000,185,75,0,6,6,113,7,0,"12.07.11 16:10","07.09.11","http://www.startnext.de/hier-und-jetzt"
559,"G. Ph. Telemann: Tag des Gerichts - durch Fukushima aktueller denn je.","Gustav Reck","Deutschland","Neustadt/Weinstra¤e","Musik",2500,15,10,0,2,2,26,8,2,"17.06.11 20:00","05.09.11","http://www.startnext.de/telemann"
560,"'Bed&Breakfast' für STAMP 2011","Swantje Tönnies","Deutschland","Hamburg-Altona","Event",1000,126,26,0,9,9,7,2,0,"08.08.11 13:02","05.09.11","http://www.startnext.de/stamp-festival"
561,"'Ihre Wurzeln sind im Tanz'  (Arbeitstitel) CD Einspielung","Claudia Hoffmann","Deutschland","Vornbach bei Passau in Bayern","Musik",5973,100,0,0,1,1,74,3,0,"02.08.11 08:38","04.09.11","http://www.startnext.de/wurzeln-im-tanz-3"
562,"CD-Produktion für das Musikfest Unerhörtes Mitteldeutschland","Daniel Schad","Deutschland","Zwickau, Coswig, Colditz, Chemnitz-Harthau, Sondershausen, Bad Lauchstädt, Zeitz, Halle, Langenbogen, Schochwitz, Zerbst","Musik",6478,20,0,0,1,1,74,3,6,"07.07.11 16:48","02.09.11","http://www.startnext.de/musikfest-unerhoertes-mitteldeutschland"
563,"versionale - Internationales Festival für Theaterregie","David Hein","Deutschland","deutschlandweit","Event",400,29,0,0,3,2,19,3,0,"01.03.11 18:25","01.09.11","http://www.startnext.de/versionale"
564,"Haus der Sonne &#8211, Dokumentarfilm (45 min)","Johannes Kaczmarczyk","Deutschland","Berlin und Madrid","Film / Video",1200,240,0,0,10,10,47,1,3,"11.04.11 14:18","01.09.11","http://www.startnext.de/haus-der-sonne"
565,"@Home Pilotfolge - Die Online-Late-Night-Talkshow mit Internet-Schwerpunkt","Richard Haderer","Österreich","Internet :)","Film / Video",1600,102,1,0,3,3,28,4,3,"29.06.11 15:57","01.09.11","http://www.startnext.de/-home"
566,"AUSZEIT","Sven Wegner","Deutschland","Berlin/Brandenburg","Film / Video",2000,25,5,0,2,2,29,5,4,"04.07.11 16:31","01.09.11","http://www.startnext.de/auszeit"
567,"'Klassische Anstalt - Die Hölle, das ist Mensch' Scheinwerfer Dance Company","Kristin Strau¤","Deutschland","Hamburg","Theater",3410,200,150,0,5,5,57,6,3,"28.04.11 10:03","31.08.11","http://www.startnext.de/tanzperformance-klassische-anstalt"
568,"1. Cultura21 Forum: Die Kultivierung von Ökologie(n)","Rana Öztürk","Deutschland","Studio Kunst und Lanschaft, Wüsting","Event",500,5,0,0,1,1,14,2,0,"15.07.11 12:11","31.08.11","http://www.startnext.de/kultivierung-von-oekologie-n-"
569,"Mental Defect *CD Produktion*","Claudia Bauer-Korzin","Deutschland","Leipzig","Musik",800,86,0,0,5,5,31,6,2,"15.07.11 13:30","31.08.11","http://www.startnext.de/mental-defect-cd"
570,"SLEEPING GIANTS","René Eckert","Deutschland","Post Produktion in 08209 Auerbach","Film / Video",1500,45,3,0,3,3,25,5,5,"03.08.11 10:40","30.08.11","http://www.startnext.de/sleepinggiants"
571,"Improvisationstheater: Die Eistüten. Es wird hei¤!","Christian Uhlig","Deutschland","Halle","Event",1500,0,0,0,1,1,25,5,6,"11.04.11 17:37","26.08.11","http://www.startnext.de/impro-eistueten"
572,"Lichtblick (AT)","Karl Hofmann","Deutschland","Berlin","Film / Video",800,10,0,0,1,1,28,2,9,"06.07.11 09:50","25.08.11","http://www.startnext.de/lichtblick"
573,"Goethe's FAUST","Karsten Prühl","Deutschland","Berlin und Potsdam","Film / Video",5500,1106,575,0,24,24,99,25,9,"07.06.11 11:40","18.08.11","http://www.startnext.de/faust"
574,"GRL Germany: Light Rider","Semiramis Ceylan","Deutschland","Berlin","Event",2500,785,525,0,14,12,44,2,11,"17.06.11 14:51","15.08.11","http://www.startnext.de/light-rider"
575,"FrIKK-Festival Berlin","Florian Wandel","Deutschland","Berlin","Event",2000,45,10,0,3,3,66,8,0,"15.06.11 05:29","08.08.11","http://www.startnext.de/frikk"
576,"Blast Of Eternity","Markus Herhoffer","Deutschland","Heilbronn","Musik",2000,50,0,5,4,4,30,0,2,"17.03.11 21:02","01.08.11","http://www.startnext.de/blast-of-eternity"
577,"Industriebrachenumgestaltung (IBUg 2011)","Maxi Kretzschmar","Deutschland","Meerane","Event",1210,122,11,0,8,8,64,10,4,"25.02.11 11:50","31.07.11","http://www.startnext.de/ibug-2011"
578,"Die kreisende Weltfabrik","Andreas Schäfer","Deutschland","Solingen","Hörspiel / Hörbuch",2400,86,56,0,4,4,31,3,4,"18.04.11 13:44","31.07.11","http://www.startnext.de/weltfabrik-cd-1"
579,"taka taka social news ticker","taka taka","Schweiz","Weltweit, Internet","Journalismus",5000,5,0,0,1,1,52,4,5,"03.05.11 00:12","31.07.11","http://www.startnext.de/taka-taka-social-news-ticker"
580,"Wildnis - Kurzspielfilm - Bachelor-Abschlussarbeit","Fabian Borst","Deutschland","Schwarzwald","Film / Video",1000,55,5,0,5,5,35,1,0,"05.05.11 16:11","31.07.11","http://www.startnext.de/wildnis"
581,"Wer Anderen Einen Bunker Baut - komödiantischer Kurzfilm","Christoph Knippenberg","Deutschland","Stuttgart","Film / Video",1100,145,10,0,5,5,31,2,0,"15.06.11 21:11","31.07.11","http://www.startnext.de/wer-anderen-einen-bunker-baut"
582,"PoolPlay - eine Sommerakademie von ar2com","Architektin Jula-Kim Sieber","Deutschland","Innichen","Event",3000,222,192,0,5,4,53,4,18,"25.02.11 12:43","30.07.11","http://www.startnext.de/sommerakademie-poolplay"
583,"'Liebchen zeigt Bananenbobby's Schätze - au¤er den einen', Fotoausstellung","Stadtoase Berlin","Deutschland","Berlin","Kunst",650,230,80,0,12,11,29,4,4,"04.07.11 01:17","27.07.11","http://www.startnext.de/bananenausstellung"
584,"IDEEN! - Der Film","Claus Reichel","Deutschland","Köln","Film / Video",9900,3308,901,1905,37,26,128,13,23,"08.04.11 12:13","15.07.11","http://www.startnext.de/ideen"
585,"[GAME] Rotkäppchen für iPhone JUMP & RUN","Owi Mahn","Deutschland","Frankfurt","Games",2000,20,0,0,1,1,26,2,1,"23.05.11 15:08","15.07.11","http://www.startnext.de/little-red-riding-hood"
586,"EIN SOMMERNACHTSTRAUM! Shakespeare Company Berlin","Shakespeare Company Berlin Christian Leonard","Deutschland","Berlin","Theater",8000,335,105,30,6,6,102,3,6,"21.05.11 18:04","12.07.11","http://www.startnext.de/dream-berlin"
587,"frisch eingetroffen - Festival für junge Darstellende Kunst","Katia Beuth","Deutschland","Mannheim","Theater",5000,580,34,0,8,8,61,1,7,"13.05.11 13:03","03.07.11","http://www.startnext.de/frisch-eingetroffen"
588,"Orphion - Musikinstrument für das iPad/iPhone","Bastus Trump","Deutschland","Berlin, Nürnberg","Design",800,29,3,0,5,5,40,4,1,"04.04.11 13:22","02.07.11","http://www.startnext.de/orphion"
589,"Schlafesbetrunken - Die Geschichte über den Versuch das Träumen zu lernen","sascha lutz","Deutschland","saulheim","Film / Video",1200,16,1,0,4,4,38,0,9,"17.04.11 19:37","02.07.11","http://www.startnext.de/schlafesbetrunken"
590,"Kunst im Karrée","Michael Wladarsch","Deutschland","München Schwabing","Kunst",2500,170,75,0,6,6,56,6,3,"31.03.11 07:53","30.06.11","http://www.startnext.de/kunst-im-karree"
591,"LumiBlox","Jennifer Boldt","Deutschland","Bremen","Erfindung",500,160,100,0,4,4,17,2,2,"30.03.11 14:00","30.06.11","http://www.startnext.de/lumiblox"
592,"Der Heimsucher und der Kosmopolit ","Anja Engel","Deutschland","Potsdam","Theater",250,60,10,0,2,2,18,2,0,"03.06.11 12:30","30.06.11","http://www.startnext.de/localize-und-oxymoron"
593,"myFoodHood.com - Die Online Community, die durch den Magen geht!","Marion Schönegger","Deutschland","Berlin und im restlichen deutschsprachigen Raum","Erfindung",5555,163,1,0,6,6,87,15,6,"19.04.11 13:18","30.06.11","http://www.startnext.de/myfoodhood"
594,"Frösche und andere Missgeschicke","Daniela Stemper","Deutschland","Lemgo / Stadtoldendorf / Fürstenberg (Bokenrode)","Film / Video",750,235,105,0,8,8,33,3,2,"06.05.11 23:17","30.06.11","http://www.startnext.de/fuam"
595,"Handspiel! Genehmigt","Felix Heinricy","Deutschland","Hamburg","Mode",1000,5,0,0,1,1,30,5,0,"06.06.11 20:03","30.06.11","http://www.startnext.de/handspiel"
596,"Kulturelle Bildung im Ramba Zamba Berlin.","Ramba Zamba","Deutschland","Berlin","Theater",1100,176,56,0,8,8,35,3,1,"19.05.11 14:07","17.06.11","http://www.startnext.de/schueler-finden-den-weg-in-das-theater"
597,"Summer of dreams - Teenie Musical Kinofilm Projekt gegen Schul Mobbing","Niels Marquardt","Deutschland","Norddeutschland, Kiel, Hamburg, Bremen, Hannover, Lüneburg, Ostsee","Film / Video",44000,100,59,0,5,5,108,11,3,"06.07.11 17:43","15.06.11","http://www.startnext.de/summerofdreams-2"
598,"Funky Cat Mov.E - der Film zum Song!","Burkhard Finckh","Deutschland","Freiburg","Film / Video",1111,68,35,0,6,6,34,3,0,"13.04.11 23:15","13.06.11","http://www.startnext.de/funky-cat-mov-e"
599,"Ein GLOBE THEATER für Berlin - Prolog Saison","Shakespeare Company Berlin e. V. / Vereinsvorstand Christian Leonard","Deutschland","Berlin","Theater",50000,69,0,0,1,1,104,4,3,"19.05.11 14:06","08.06.11","http://www.startnext.de/globe-berlin"
600,"Cinema Out of Your Backpack","Joshua Beyer","Deutschland","Ludwigsburg","Film / Video",2500,21,1,0,4,4,24,1,7,"03.02.11 12:55","03.06.11","http://www.startnext.de/backpack"
601,"Siebzehn Silben","Hendrik Sapadi","Deutschland","Hamburg","Film / Video",550,50,0,0,1,1,27,2,7,"03.05.11 00:09","01.06.11","http://www.startnext.de/siebzehn-silben"
602,"RockRainer - Körperlich am Ende, Künstlerisch am Anfang - EP","Sandro De Lorenzo","Deutschland","Berlin, Freiburg, Lahr","Musik",3000,190,0,0,14,12,31,6,0,"04.02.11 15:47","31.05.11","http://www.startnext.de/rockrainer-koerperlich-kuenstlerisch"
603,"IRON SKY","Oliver Damian","Deutschland","Finnland, Deutschland & Australien","Film / Video",50000,4484,234,0,28,26,83,17,8,"01.04.11 15:03","31.05.11","http://www.startnext.de/iron-sky"
604,"'365 Faces' - spontane Strassen-Portrait-Fotografie","Björn Lexius","Deutschland","Hamburg","Fotografie",825,201,35,0,16,16,48,5,2,"29.11.10 23:32","29.05.11","http://www.startnext.de/365-faces"
605,"Neue Kohle für den 'Musikexpress'","Angelika Walter","Deutschland","Osnabrück","Design",7700,245,5,0,13,12,25,4,6,"01.12.10 14:34","27.05.11","http://www.startnext.de/musikexpress-zweiter-teil"
606,"Litradio Live bei Prosanova 2011","Guido Graf","Deutschland","Hildesheim","Literatur",300,0,0,0,1,1,20,2,3,"27.04.11 15:25","25.05.11","http://www.startnext.de/litradio"
